Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),extra,
spotify:track:67bY3RQk6fQEhRvzuIVJIx,Lights Out - Feat. Knoc 'Turn 'Al,Westside Connection,The Best of Westside Connection,1,6,224093,,
spotify:track:3767ezjpBKATDO6AtsU8fd,Hoo-Bangin' (WSCG Style),Westside Connection,The Best of Westside Connection,1,11,237933,,
spotify:track:6Tsu3OsuMz4KEGKbOYd6A0,Hypnotize,The Notorious B.I.G.,Greatest Hits (Explicit Version),1,3,230000,,
spotify:track:2212oBX0YELcs0sr6DqGer,Music & Me,Nate Dogg,Music And Me,1,13,240626,,
spotify:track:0KbIwqCAHmXWu7hrszXY6j,Party We Will Throw Now!,"Warren G, Nate Dogg, The Game",Party We Will Throw Now! - Single,1,1,209412,,
spotify:track:5EEOjaJyWvfMglmEwf9bG3,Regulate,"Warren G, Nate Dogg",Regulate G Funk (Enhanced Reissue),1,1,250868,,
spotify:track:6e8Ou0wiqAzIpWb2eSxll8,Miami,Will Smith,Big Willie Style,1,8,197416,,
spotify:track:2FK7fxjzQEXD7Z32HSF0Hl,Men In Black,Will Smith,Big Willie Style,1,16,227266,,
spotify:track:1YrHyDbH17btvI2rFTkbCQ,Bitch Please - Feat. Xzibit,Snoop Dogg,The Best Of Snoop Dogg,1,7,234733,,
spotify:local:::Snoop+Doggy+Dog+ft+Dr+Dre%2C+Nate+Dogg+-+Lay+Low:237,Lay Low,Snoop Dogg,,0,0,237000,,
spotify:track:0D5ER6UGojHVHVVJV0QdY8,Kush - Main,"Dr. Dre, Snoop Dogg, Akon",Kush,1,1,235120,,
spotify:track:4Tyv7nnNTHC6mR1pTubIrw,Drop It Like It's Hot,"Snoop Dogg, Pharrell Williams",Drop It Like It's Hot (International Version),1,1,269769,,
spotify:track:6bfnD9jUXFR520zr4AQ28r,"Wrong Idea - Feat. Bad Azz, KoKane And Lil' HD",Snoop Dogg,The Best Of Snoop Dogg,1,10,255080,,
spotify:track:1U90lN66HMHdsAGqMR6QLM,1800 - Featuring Lil Jon;,Snoop Dogg,Malice 'N Wonderland (Explicit),1,4,215573,,
spotify:track:09fxNZHufbdOdoMwx5BJLo,I'm Back,Eminem,The Marshall Mathers LP (Explicit Version),1,10,309760,,
spotify:track:0vM2JGnMt1wBsufvvVrgDi,Bitch Please II,"Eminem, Dr. Dre, Snoop Dogg, Xzibit, Nate Dogg",The Marshall Mathers LP (Explicit Version),1,15,288200,,
spotify:track:4QVOTT9CM2ftSLwnYGNDjd,Stan,"Eminem, Dido",Curtain Call (Deluxe),1,5,404426,,
spotify:track:7w9bgPAmPTtrkt2v16QWvQ,Lose Yourself - Soundtrack Version,Eminem,Curtain Call (Deluxe),1,6,326466,,
spotify:track:5pBvNeOAJ54zgd5lEOmM3b,Without Me,Eminem,Curtain Call (Deluxe),1,9,291213,,
spotify:track:6Lcq8nlk2InTcLHwGj7vQN,Kill You,Eminem,Curtain Call (Deluxe),2,3,264243,,
spotify:track:79RYjhFQ150lpjxoRJW4El,Under The Influence,"Eminem, D12",The Marshall Mathers LP - Tour Edition (International Version),2,17,321666,,
spotify:track:1MYlx4dBtiyjn7K8YSyfzT,The Real Slim Shady,Eminem,Curtain Call (Deluxe),1,11,284800,,
spotify:track:4ZPwcwJVFn0VwHZXZkpZUA,Love Me - Soundtrack Version,"Obie Trice, 50 Cent, Eminem",8 Mile [Regular Explicit (Int'l Version w/o weblink)],1,2,270746,,
spotify:track:2552neNWWQ2i2XZwPi5B3G,8 Mile - Soundtrack Version,Eminem,8 Mile [Regular Explicit (Int'l Version w/o weblink)],1,3,359400,,
spotify:track:6od48Q8q51jXwB70eHudht,We Made You,Eminem,Relapse: Refill,1,9,269613,,
spotify:track:0nKZeSrqH9u31NLoTUsYBR,You Don't Know,"Eminem, 50 Cent, Ca$his, Lloyd Banks",Eminem Presents The Re-Up [UK/Japan Version (Explicit)],1,7,257906,,
spotify:track:6dgsGN3IdrjNvMuyxkEWUi,Get Low,Stat Quo,Eminem Presents The Re-Up [UK/Japan Version (Explicit)],1,18,199800,,
