•ÈÀ•ÈÀSpotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At
spotify:track:5nsYJnjVTjEspmtQx67T9S,Lightning (feat. John Rzeznik) - EDX's Miami Sunset Remix,"Cash Cash, John Rzeznik, EDX",Lightning Remixes (feat. John Rzeznik),1,3,354492,spotify:user:plopous,2014-08-11T14:58:28Z
spotify:track:4kwF7lcUi1UMsm0shUcOTz,We Were Young - Original Mix,DVBBS,We Were Young,1,1,367641,spotify:user:plopous,2014-08-13T02:12:54Z
spotify:track:18cCBvygH6yEFDY0cYN3wT,Divinity,"Porter Robinson, Amy Millan",Worlds,1,1,368373,spotify:user:plopous,2014-08-13T02:04:35Z
spotify:track:0n9iqBDje39F71sJxCzKLl,Habits (Stay High) - The Chainsmokers Extended Mix,"Tove Lo, The Chainsmokers",Habits (Stay High) [The Chainsmokers Extended Mix],1,1,294253,spotify:user:plopous,2014-08-13T10:58:41Z
spotify:track:16SsiQFVS2ZyxqqF5OB7m8,Lovers on the Sun (feat. Sam Martin),"David Guetta, Sam Martin",Lovers on the Sun (feat. Sam Martin),1,1,203520,spotify:user:plopous,2014-07-01T09:56:14Z
spotify:track:5vQIaNoKsT4xkG1j2KFBFs,Gold Skies,"Sander van Doorn, Martin Garrix, DVBBS, Aleesia",Gold Skies,1,1,328213,spotify:user:plopous,2014-07-14T13:25:56Z
spotify:track:4SpLn2FTU4zKWHHaj9z4JF,Lionhearted - Arty Remix,"Porter Robinson, Urban Cone",Lionhearted (Remixes),1,1,317106,spotify:user:plopous,2014-07-15T15:33:10Z
spotify:track:3EoQrib1IHTIIFaWyZSxwo,Backlash - Martin Garrix Edit,DubVision,Backlash (Martin Garrix Edit),1,1,376062,spotify:user:plopous,2014-07-22T10:59:56Z
spotify:track:0HSHOXIDMwhFbXHnaxpvxE,Proxy - Original Mix,Martin Garrix,Proxy,1,1,279384,spotify:user:plopous,2014-05-18T16:10:29Z
spotify:track:405G0eZIVu9mcG3o0VlGKa,Keep Our Love Alive,"Afrojack, Matthew Koma",Forget The World (Deluxe),1,12,252997,spotify:user:plopous,2014-05-19T11:21:42Z
spotify:track:23gEWg886oyEWphJOhplT1,Bounce Generation - Original Mix,"TJR, VINAI",Bounce Generation,1,2,228764,spotify:user:plopous,2014-05-19T14:04:57Z
spotify:track:15aEvE6NlSCmbip4KlZ3Nn,Unstoppable,"R3HAB, Eva Simons",Unstoppable,1,1,213684,spotify:user:plopous,2014-05-19T14:07:57Z
spotify:track:6PtXobrqImYfnpIxNsJApa,Bad (feat. Vassy) - Radio Edit,"David Guetta, Showtek, Vassy",Bad (feat. Vassy) [Radio Edit],1,1,170625,spotify:user:plopous,2014-04-07T11:34:53Z
spotify:track:6bfERbyzzvjJdmo0J4CuzW,Freak,"Steve Aoki, Diplo, Deorro, Steve Bays",Freak,1,1,281250,spotify:user:plopous,2014-03-27T12:34:35Z
spotify:track:77Lr9Dys4VxGaVYHUucZfl,Lights & Thunder - Deorro Remix,"Gareth Emery, Krewella",Lights & Thunder,1,2,337812,spotify:user:plopous,2014-03-31T11:25:03Z
spotify:track:27EyhYktLIgAOW6IkygTqL,Pompeii - Audien Remix,"Bastille, Audien",Pompeii (Audien Remix),1,1,352968,spotify:user:plopous,2014-04-02T03:43:25Z
spotify:track:2TG70t1GoOA8FekuAZBfXL,Find You - Kevin Drew Remix,"Zedd, Matthew Koma, Miriam Bryant",Find You (Remixes),1,1,283125,spotify:user:plopous,2014-04-08T15:04:07Z
